Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
0,Abner,BRA,Defensa,Betis,22,2000,13,7,607,0,0,0,2,0,1.7,0.1,"5,00 mill. €"
1,Álvaro Aceves,ESP,PO,Valladolid,19,2003,1,0,13,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
2,Marcos Acuña,ARG,Defensa,Sevilla,30,1991,30,21,1912,3,2,5,10,3,1.2,4.3,"3,00 mill. €"
3,Julen Agirrezabala,ESP,PO,Athletic Club,21,2000,8,7,675,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
4,Álvaro Aguado,ESP,Centrocampista,Valladolid,26,1996,34,18,1888,1,2,3,4,0,1.0,2.2,"6,00 mill. €"
5,Joseph Aidoo,GHA,Defensa,Celta Vigo,26,1995,35,35,3119,3,0,3,6,1,1.0,0.1,"7,00 mill. €"
6,Sergio Akieme,ESP,Defensa,Almería,24,1997,29,27,2297,1,0,1,5,0,1.5,2.0,400 mil €
7,Paul Akouokou,CIV,Centrocampista,Betis,24,1997,12,3,447,0,0,0,3,0,0.2,0.0,"2,50 mill. €"
8,David Alaba,AUT,Defensa,Real Madrid,30,1992,23,21,1838,1,3,4,3,0,0.8,1.1,"4,00 mill. €"
9,Tomás Alarcón,CHI,Centrocampista,Cádiz,23,1999,4,2,223,0,0,0,2,1,0.0,0.1,"3,50 mill. €"
10,Jordi Alba,ESP,Defensa,Barcelona,33,1989,24,14,1419,2,3,5,6,1,0.8,6.2,"40,00 mill. €"
11,Raúl Albiol,ESP,Defensa,Villarreal,36,1985,25,24,2119,0,0,0,6,0,0.1,0.0,"1,00 mill. €"
12,Rubén Alcaraz,ESP,Centrocampista,Cádiz,31,1991,31,22,2043,3,0,3,11,1,4.0,1.3,"2,00 mill. €"
13,Omar Alderete,PAR,Defensa,Getafe,25,1996,25,23,2047,1,1,2,9,0,0.6,0.8,"3,00 mill. €"
14,Iván Alejo,ESP,Centrocampista,Cádiz,27,1995,31,13,1311,0,1,1,13,1,1.2,2.4,"1,50 mill. €"
15,Carles Aleñá,ESP,Centrocampista,Getafe,24,1998,35,26,2119,2,2,4,12,1,2.3,1.6,"6,00 mill. €"
16,Alejandro Alfaro,ESP,Centrocampista,Elche,20,2002,1,0,15,0,0,0,0,0,0.0,0.0,"1,20 mill. €"
17,Ángel Algobia,ESP,Centrocampista,Getafe,23,1999,26,11,1138,0,0,0,3,0,0.3,0.6,-
18,Mohamed Ali Cho,FRA,Delantero,Real Sociedad,18,2004,19,5,587,1,2,3,1,0,1.8,1.6,"20,00 mill. €"
19,Domingos André Ribeiro Almeida,POR,Centrocampista,Valencia,22,2000,34,29,2539,2,4,6,3,0,1.4,3.4,"10,00 mill. €"
20,Marcos Alonso,ESP,Defensa,Barcelona,31,1990,24,11,1172,1,0,1,3,0,0.9,0.3,"3,00 mill. €"
21,Carlos Álvarez,ESP,Centrocampista,Sevilla,18,2003,1,0,10,0,0,0,1,0,0.0,0.0,"5,00 mill. €"
22,Gastón Álvarez,URU,Defensa,Getafe,22,2000,22,16,1501,2,0,2,7,1,0.5,0.2,"12,00 mill. €"
23,Yeray Álvarez,ESP,Defensa,Athletic Club,27,1995,28,27,2332,1,1,2,7,1,0.8,1.1,"2,50 mill. €"
24,Selim Amallah,MAR,Centrocampista,Valladolid,25,1996,7,3,267,2,1,3,2,1,0.9,0.3,"1,50 mill. €"
25,Amath,SEN,Centrocampista,Mallorca,26,1996,28,12,1227,2,0,2,2,1,2.7,0.8,"2,00 mill. €"
26,Jordan Amavi,FRA,Defensa,Getafe,28,1994,5,1,200,0,0,0,2,1,0.0,0.0,400 mil €
27,Marcos André,BRA,Delantero,Valencia,25,1996,17,3,447,1,0,1,2,1,1.5,0.4,-
28,Fabrizio Angileri,ARG,Defensa,Getafe,28,1994,15,7,585,0,0,0,2,1,0.1,0.0,"1,50 mill. €"
29,Josep Antoni Gayá,ESP,Defensa,Mallorca,22,2000,2,1,98,0,0,0,0,0,0.0,0.0,100 mil €
30,José Antonio,ESP,Centrocampista,Cádiz,18,2004,2,0,46,0,1,1,0,0,0.0,0.0,-
31,Anuar,MAR,Centrocampista,Valladolid,27,1995,3,3,210,1,0,1,1,0,0.3,0.4,"6,00 mill. €"
32,Mauro Arambarri,URU,Centrocampista,Getafe,26,1995,13,13,992,0,1,1,5,1,0.2,1.5,"70,00 mill. €"
33,Ronald Araújo,URU,Defensa,Barcelona,23,1999,22,21,1800,0,2,2,5,1,2.1,0.8,800 mil €
34,Adu Ares,ESP,Delantero,Athletic Club,20,2001,8,0,84,0,0,0,0,0,0.1,0.2,500 mil €
35,Sergio Arribas,ESP,Centrocampista,Real Madrid,20,2001,2,0,19,0,0,0,0,0,0.2,0.0,300 mil €
36,Roberto Arroyo,ESP,Centrocampista,Valladolid,18,2003,1,0,15,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
37,Ricard Artero,ESP,Centrocampista,Girona,19,2003,7,0,133,0,0,0,0,0,0.5,0.0,-
38,Santiago Arzamendia,PAR,Defensa,Cádiz,24,1998,12,5,483,0,0,0,0,0,0.2,0.5,"1,20 mill. €"
39,Sergio Asenjo,ESP,PO,Valladolid,33,1989,10,10,900,0,0,0,0,0,0.0,0.0,700 mil €
40,Marco Asensio,ESP,Delantero,Real Madrid,26,1996,31,15,1442,9,6,15,1,0,6.3,4.9,"5,00 mill. €"
41,Iago Aspas,ESP,Delantero,Celta Vigo,34,1987,37,31,2868,12,3,15,6,0,11.1,5.6,"25,00 mill. €"
42,Pierre-Emerick Aubameyang,GAB,Delantero,Barcelona,33,1989,1,0,9,0,0,0,0,0,0.1,0.0,"4,00 mill. €"
43,Ludwig Augustinsson,SWE,Defensa,Mallorca,28,1994,4,1,132,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
44,Ezequiel Ávila,ARG,Delantero,Osasuna,28,1994,29,23,1709,8,2,10,7,1,6.7,1.7,"2,50 mill. €"
45,Iddrisu Baba,GHA,Centrocampista,Mallorca,26,1996,29,20,1705,0,0,0,5,0,0.6,0.2,"2,50 mill. €"
46,Loïc Bade,FRA,Defensa,Sevilla,22,2000,19,16,1449,1,0,1,4,0,0.3,0.1,"12,00 mill. €"
47,Édgar Badía,ESP,PO,Elche,30,1992,36,36,3240,0,0,0,2,0,0.0,0.0,"3,00 mill. €"
48,Alex Baena,ESP,Centrocampista,Villarreal,21,2001,35,19,1947,6,2,8,13,1,3.9,5.2,"20,00 mill. €"
49,Alejandro Balde,ESP,Defensa,Barcelona,18,2003,33,30,2471,1,6,7,4,0,1.9,4.9,"50,00 mill. €"
50,Mikel Balenziaga,ESP,Defensa,Athletic Club,34,1988,3,1,115,0,0,0,0,0,0.0,0.0,"1,80 mill. €"
51,Iván Balliu,ALB,Defensa,Rayo Vallecano,30,1992,37,37,3232,0,0,0,6,0,0.3,2.8,"3,00 mill. €"
52,Léo Baptistão,BRA,Delantero,Almería,29,1992,28,24,1726,5,1,6,7,0,4.9,1.2,"4,00 mill. €"
53,Keidi Bare,ALB,Centrocampista,Espanyol,24,1997,18,4,503,0,1,1,0,0,0.6,0.2,"2,50 mill. €"
54,Kike Barja,ESP,Delantero,Osasuna,25,1997,27,15,1312,1,6,7,1,0,1.2,3.9,"15,00 mill. €"
55,Ander Barrenetxea,ESP,Delantero,Real Sociedad,20,2001,23,9,878,3,1,4,4,0,3.0,1.2,"20,00 mill. €"
56,Pablo Barrios,ESP,Centrocampista,Atlético Madrid,19,2003,21,6,724,0,1,1,4,0,0.5,0.7,"1,50 mill. €"
57,Rodrigo Battaglia,ARG,Centrocampista,Mallorca,31,1991,15,8,686,0,0,0,5,0,0.2,0.0,-
58,Bebé,CPV,Delantero,Rayo Vallecano,32,1990,4,0,60,0,0,0,1,0,0.1,0.1,"8,00 mill. €"
59,Héctor Bellerín,ESP,Defensa,Barcelona,27,1995,3,1,143,0,0,0,0,0,0.0,0.1,"10,00 mill. €"
60,Fran Beltrán,ESP,Centrocampista,Celta Vigo,23,1999,36,33,2855,0,2,2,4,0,0.9,1.7,400 mil €
61,Iker Benito,ESP,Delantero,Osasuna,19,2002,4,2,176,0,0,0,0,0,0.0,0.3,"15,00 mill. €"
62,Karim Benzema,FRA,Delantero,Real Madrid,34,1987,24,24,2038,19,3,22,1,0,21.5,5.8,"2,00 mill. €"
63,Yuri Berchiche,ESP,Defensa,Athletic Club,32,1990,29,27,2406,1,1,2,9,1,1.3,1.4,"15,00 mill. €"
64,Álex Berenguer,ESP,Delantero,Athletic Club,27,1995,37,26,2297,4,1,5,2,0,4.3,4.6,"1,00 mill. €"
65,Pedro Bigas,ESP,Defensa,Elche,31,1990,28,25,2020,0,0,0,4,2,1.8,0.0,"20,00 mill. €"
66,El Bilal Touré,MLI,Delantero,Almería,20,2001,21,15,1264,7,2,9,0,0,6.3,1.3,"5,00 mill. €"
67,Lautaro Blanco,ARG,Defensa,Elche,23,1999,17,9,872,0,2,2,2,0,0.0,1.5,"11,00 mill. €"
68,Theo Bongonda,COD,Centrocampista,Cádiz,26,1995,31,24,1938,4,3,7,2,0,5.2,3.0,"2,00 mill. €"
69,Yassine Bounou,MAR,PO,Sevilla,31,1991,25,25,2151,0,0,0,2,0,0.0,0.0,"5,00 mill. €"
70,Lucas Boyé,ARG,Delantero,Elche,26,1996,35,29,2462,7,2,9,7,1,8.3,2.9,"2,00 mill. €"
71,Martin Braithwaite,DEN,Delantero,Espanyol,31,1991,31,29,2456,10,2,12,5,1,9.2,1.4,"2,00 mill. €"
72,Juan Brandáriz,ESP,Defensa,Almería,23,1999,21,15,1489,1,0,1,5,0,0.4,0.1,400 mil €
73,Darko Brašanac,SRB,Centrocampista,Osasuna,30,1992,25,9,1041,1,1,2,5,0,1.2,0.7,"10,00 mill. €"
74,Claudio Bravo,CHI,PO,Betis,39,1983,12,12,1080,0,0,0,2,0,0.0,0.0,"1,00 mill. €"
75,Ante Budimir,CRO,Delantero,Osasuna,31,1991,31,22,1798,8,0,8,5,0,7.7,0.7,"8,00 mill. €"
76,Santiago Bueno,URU,Defensa,Girona,23,1998,34,34,3010,0,1,1,7,1,1.3,1.1,"5,00 mill. €"
77,Sergio Busquets,ESP,Centrocampista,Barcelona,34,1988,30,28,2339,0,4,4,8,1,0.4,2.8,"3,50 mill. €"
78,Leandro Cabrera,URU,Defensa,Espanyol,31,1991,32,31,2669,0,1,1,10,2,2.3,1.5,"2,50 mill. €"
79,Cala,ESP,Defensa,Cádiz,32,1989,3,1,137,0,0,0,0,0,0.0,0.0,-
80,Fernando Calero,ESP,Defensa,Espanyol,26,1995,27,20,1611,0,1,1,6,0,0.7,0.6,"2,50 mill. €"
81,Alexander Callens,PER,Defensa,Girona,30,1992,6,0,120,0,0,0,1,0,0.0,0.0,"1,80 mill. €"
82,Eduardo Camavinga,FRA,Centrocampista,Real Madrid,19,2002,37,21,2010,0,1,1,6,0,0.8,1.5,"90,00 mill. €"
83,Sergio Camello,ESP,Delantero,Rayo Vallecano,21,2001,38,27,2401,6,5,11,1,0,7.3,2.4,"5,00 mill. €"
84,Sergio Canales,ESP,Delantero,Betis,31,1991,31,28,2402,4,3,7,4,2,4.4,5.9,"13,00 mill. €"
85,Ander Capa,ESP,Defensa,Athletic Club,30,1992,7,1,109,0,0,0,1,0,0.0,0.0,"1,80 mill. €"
86,Étienne Capoue,FRA,Centrocampista,Villarreal,34,1988,28,22,1955,3,0,3,4,0,2.6,1.1,"2,00 mill. €"
87,Isaac Carcelen,ESP,Defensa,Cádiz,29,1993,27,25,2199,0,1,1,4,3,0.2,1.3,-
88,Juan Carlos,ESP,PO,Girona,34,1988,10,10,900,0,0,0,0,0,0.0,0.0,"2,50 mill. €"
89,José Carlos Lazo,ESP,Centrocampista,Almería,26,1996,1,0,20,0,0,0,0,0,0.1,0.0,"2,50 mill. €"
90,José Carlos Lazo,ESP,Centrocampista,Espanyol,26,1996,10,0,159,1,1,2,0,0,0.2,0.2,"1,50 mill. €"
91,Carmona,ESP,Centrocampista,Elche,20,2002,9,8,589,1,0,1,5,1,0.4,0.1,450 mil €
92,Carmona,ESP,Defensa,Sevilla,20,2002,10,5,527,2,1,3,6,1,0.8,0.4,450 mil €
93,Yannick Carrasco,BEL,Defensa,Atlético Madrid,28,1993,35,26,2317,7,3,10,2,0,8.0,4.1,"20,00 mill. €"
94,William Carvalho,POR,Centrocampista,Betis,30,1992,33,31,2438,3,1,4,6,1,3.1,1.6,"40,00 mill. €"
95,Casemiro,BRA,Centrocampista,Real Madrid,30,1992,1,0,8,0,0,0,0,0,0.0,0.0,"15,00 mill. €"
96,Valentín Castellanos,ARG,Delantero,Girona,23,1998,35,33,2597,13,0,13,11,0,11.0,1.7,"3,00 mill. €"
97,Samu Castillejo,ESP,Delantero,Valencia,27,1995,25,17,1362,4,0,4,7,0,2.9,3.0,"6,00 mill. €"
98,Catena,ESP,Defensa,Rayo Vallecano,27,1994,35,35,3103,1,1,2,14,1,1.4,1.4,"2,50 mill. €"
99,Edinson Cavani,URU,Delantero,Valencia,35,1987,25,20,1449,5,2,7,6,0,6.0,1.7,"9,00 mill. €"
100,Dani Ceballos,ESP,Centrocampista,Real Madrid,25,1996,30,19,1564,0,4,4,8,0,0.9,2.1,"12,00 mill. €"
101,Álex Centelles,ESP,Defensa,Almería,24,1997,15,11,1123,1,2,3,0,1,0.4,1.3,"1,50 mill. €"
102,Franco Cervi,ARG,Centrocampista,Celta Vigo,28,1994,36,21,1894,0,4,4,2,1,2.3,2.7,"2,50 mill. €"
103,Pep Chavarría,ESP,Delantero,Rayo Vallecano,24,1998,16,2,366,0,2,2,1,0,0.1,0.7,"1,00 mill. €"
104,Pape Cheikh Diop,SEN,Centrocampista,Elche,24,1997,2,0,37,0,0,0,1,1,0.0,0.0,800 mil €
105,Andreas Christensen,DEN,Defensa,Barcelona,26,1996,23,22,1760,1,1,2,2,0,1.0,0.5,"25,00 mill. €"
106,Samuel Chukwueze,NGA,Delantero,Villarreal,23,1999,37,27,2339,6,5,11,1,0,6.5,4.3,"40,00 mill. €"
107,Víctor Chust,ESP,Defensa,Cádiz,22,2000,14,10,965,1,0,1,3,0,0.9,0.0,"3,00 mill. €"
108,Pathé Ciss,SEN,Centrocampista,Rayo Vallecano,28,1994,32,12,1282,1,0,1,4,0,2.6,0.3,"2,00 mill. €"
109,Carlos Clerc,ESP,Defensa,Elche,30,1992,32,31,2639,0,1,1,5,0,0.6,2.1,"3,00 mill. €"
110,Álex Collado,ESP,Centrocampista,Elche,23,1999,16,8,729,1,1,2,1,0,0.6,1.6,"1,00 mill. €"
111,Diego Collado,ESP,Delantero,Villarreal,21,2001,2,0,6,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
112,Eray Cömert,SUI,Defensa,Valencia,24,1998,23,19,1672,1,0,1,5,1,0.5,0.1,"3,50 mill. €"
113,Santi Comesaña,ESP,Centrocampista,Rayo Vallecano,25,1996,35,29,2451,3,2,5,6,0,2.5,2.2,"7,50 mill. €"
114,Copete,ESP,Defensa,Mallorca,22,1999,28,27,2206,1,0,1,7,1,1.0,0.2,"2,50 mill. €"
115,Francis Coquelin,FRA,Centrocampista,Villarreal,31,1991,16,9,748,1,0,1,2,0,1.0,1.0,"7,00 mill. €"
116,Jesús Corona,MEX,Delantero,Sevilla,29,1993,4,1,111,1,0,1,0,0,0.5,0.2,"12,00 mill. €"
117,Ángel Correa,ARG,Delantero,Atlético Madrid,27,1995,35,13,1455,9,1,10,3,1,7.2,3.5,"8,00 mill. €"
118,Thierry Correia,POR,Defensa,Valencia,23,1999,27,24,2009,0,0,0,5,0,0.3,1.1,"30,00 mill. €"
119,Jaume Costa,ESP,Defensa,Mallorca,34,1988,32,30,2599,0,1,1,10,0,1.0,2.5,"1,20 mill. €"
120,Samu Costa,POR,Centrocampista,Almería,21,2000,32,22,1989,1,2,3,5,0,1.7,1.0,"5,00 mill. €"
121,Thibaut Courtois,BEL,PO,Real Madrid,30,1992,31,31,2790,0,0,0,0,0,0.0,0.4,"45,00 mill. €"
122,Yan Couto,BRA,Defensa,Girona,20,2002,25,12,1158,1,2,3,3,0,0.5,2.4,"8,00 mill. €"
123,Juan Cruz,ESP,Delantero,Betis,22,2000,6,1,178,1,0,1,1,0,0.5,0.1,"1,50 mill. €"
124,Jorge Cuenca,ESP,Defensa,Villarreal,22,1999,10,5,506,0,0,0,1,0,0.4,0.1,"5,00 mill. €"
125,Braian Cufré,ARG,Defensa,Mallorca,25,1996,5,2,220,0,0,0,0,0,0.1,0.0,"28,00 mill. €"
126,Matheus Cunha,BRA,Delantero,Atlético Madrid,23,1999,11,2,377,0,2,2,2,0,1.4,0.8,225 mil €
127,Curro,ESP,Centrocampista,Almería,26,1996,2,0,43,0,0,0,1,0,0.1,0.2,-
128,Arnaut Danjuma,NED,Delantero,Villarreal,25,1997,10,6,479,2,0,2,0,0,2.7,0.4,"20,00 mill. €"
129,Sergi Darder,ESP,Centrocampista,Espanyol,28,1993,38,38,3320,6,3,9,4,0,3.5,7.5,"16,00 mill. €"
130,Rodrigo De Paul,ARG,Centrocampista,Atlético Madrid,28,1994,30,24,1923,2,7,9,5,0,1.6,5.6,"2,00 mill. €"
131,Alberto Del Moral,ESP,Centrocampista,Villarreal,22,2000,1,0,5,0,0,0,0,0,0.0,0.0,350 mil €
132,Thomas Delaney,DEN,Centrocampista,Sevilla,30,1991,8,2,309,0,0,0,3,0,0.2,0.1,"1,00 mill. €"
133,Fran Delgado,ESP,Defensa,Betis,21,2001,1,0,12,0,0,0,0,0,0.0,0.0,"40,00 mill. €"
134,Ousmane Dembélé,FRA,Delantero,Barcelona,25,1997,25,16,1410,5,7,12,4,0,3.9,4.9,"60,00 mill. €"
135,Mouctar Diakhaby,GUI,Defensa,Valencia,25,1996,29,28,2446,3,0,3,7,1,2.7,0.3,"6,00 mill. €"
136,Mamady Diarra,MLI,Centrocampista,Cádiz,22,2000,2,1,66,0,0,0,0,0,0.1,0.0,300 mil €
137,Youba Diarra,MLI,Centrocampista,Cádiz,24,1998,5,1,98,0,0,0,2,0,0.0,0.5,"4,00 mill. €"
138,Stole Dimitrievski,MKD,PO,Rayo Vallecano,28,1993,37,37,3324,0,0,0,4,0,0.0,0.0,"2,00 mill. €"
139,Marko Dmitrović,SRB,PO,Sevilla,30,1992,15,13,1269,0,0,0,1,0,0.0,0.0,900 mil €
140,Matt Doherty,IRL,Defensa,Atlético Madrid,30,1992,2,0,18,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
141,Kasper Dolberg,DEN,Delantero,Sevilla,24,1997,4,2,197,0,1,1,0,0,0.0,0.4,"7,00 mill. €"
142,Carlos Dominguez,ESP,Defensa,Celta Vigo,21,2001,3,1,108,0,0,0,0,0,0.0,0.0,800 mil €
143,John Donald,ESP,Centrocampista,Elche,21,2000,14,13,1092,0,0,0,3,1,0.1,0.1,"1,00 mill. €"
144,Domingos Duarte,POR,Defensa,Getafe,27,1995,31,30,2657,0,2,2,11,1,1.3,0.8,250 mil €
145,Pablo Durán,ESP,Centrocampista,Celta Vigo,21,2001,4,0,36,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
146,Hugo Duro,ESP,Delantero,Valencia,22,1999,30,12,1385,1,1,2,5,0,4.4,1.1,"5,00 mill. €"
147,Íñigo Eguaras,ESP,Centrocampista,Almería,30,1992,25,10,967,1,1,2,6,0,1.0,0.6,800 mil €
148,Aritz Elustondo,ESP,Defensa,Real Sociedad,28,1994,25,16,1449,0,1,1,5,1,0.7,1.0,"10,00 mill. €"
149,Rodrigo Ely,BRA,Defensa,Almería,28,1993,36,36,3155,0,1,1,10,1,1.0,0.8,"3,00 mill. €"
150,Youssef En-Nesyri,MAR,Delantero,Sevilla,25,1997,31,17,1661,8,1,9,4,0,8.1,1.1,"20,00 mill. €"
151,Gonzalo Escalante,ARG,Centrocampista,Cádiz,29,1993,14,13,1121,4,1,5,4,0,3.5,1.5,"1,50 mill. €"
152,Sergio Escudero,ESP,Defensa,Valladolid,32,1989,23,17,1439,1,0,1,3,0,1.5,1.8,"3,50 mill. €"
153,Alfonso Espino,URU,Defensa,Cádiz,30,1992,36,35,3122,0,4,4,7,0,1.5,4.2,"1,50 mill. €"
154,Bernardo Espinosa,COL,Defensa,Girona,33,1989,20,14,1225,1,1,2,5,0,1.2,0.0,"2,00 mill. €"
155,Edu Expósito,ESP,Centrocampista,Espanyol,25,1996,28,13,1160,2,2,4,3,1,0.9,2.4,"15,00 mill. €"
156,Nicolás Ezequiel Fernández,ARG,Centrocampista,Elche,22,2000,18,3,514,0,1,1,2,0,0.4,0.8,"4,00 mill. €"
157,Abdessamad Ezzalzouli,MAR,Delantero,Osasuna,20,2001,28,19,1504,4,2,6,4,2,2.7,1.9,"1,50 mill. €"
158,Radamel Falcao,COL,Delantero,Rayo Vallecano,36,1986,27,3,616,2,0,2,4,0,2.9,0.1,"2,00 mill. €"
159,Fali,ESP,Defensa,Cádiz,28,1993,25,22,1714,0,0,0,6,0,0.6,0.2,"2,50 mill. €"
160,Mamadou Fall,SEN,Defensa,Villarreal,19,2002,1,0,30,0,0,0,0,0,0.0,0.0,"1,60 mill. €"
161,Ansu Fati,ESP,Delantero,Barcelona,19,2002,36,12,1393,7,3,10,3,0,9.1,1.7,"35,00 mill. €"
162,Zouhair Feddal,MAR,Defensa,Valladolid,33,1989,8,4,375,0,0,0,1,0,0.2,0.1,800 mil €
163,Nabil Fekir,FRA,Centrocampista,Betis,29,1993,15,12,961,2,2,4,4,1,2.4,2.7,"15,00 mill. €"
164,Felipe,BRA,Defensa,Atlético Madrid,33,1989,3,2,194,0,0,0,0,0,0.0,0.0,"15,00 mill. €"
165,Luiz Felipe,ITA,Defensa,Betis,25,1997,23,22,1763,0,0,0,3,3,0.2,0.3,"15,00 mill. €"
166,João Félix,POR,Delantero,Atlético Madrid,22,1999,14,7,650,4,3,7,5,0,2.8,1.5,"50,00 mill. €"
167,Kiko Femenía,ESP,Defensa,Villarreal,31,1991,20,13,1133,0,0,0,0,0,0.1,0.7,"2,00 mill. €"
168,Aitor Fernández,ESP,PO,Osasuna,31,1991,21,21,1890,0,0,0,1,0,0.0,0.0,"3,00 mill. €"
169,Álex Fernández,ESP,Centrocampista,Cádiz,29,1992,28,17,1576,3,0,3,0,0,2.7,1.6,"7,00 mill. €"
170,Álvaro Fernández,ESP,PO,Espanyol,24,1998,11,11,990,0,0,0,1,0,0.0,0.2,"3,00 mill. €"
171,Carlos Fernández,ESP,Delantero,Real Sociedad,26,1996,24,8,631,1,0,1,6,0,2.4,0.6,500 mil €
172,Federico Fernández,ARG,Defensa,Elche,33,1989,1,1,90,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
173,Joaquín Fernández,ESP,Defensa,Valladolid,26,1996,27,24,2156,1,0,1,4,0,0.6,0.1,"2,50 mill. €"
174,Valery Fernández,ESP,Centrocampista,Girona,22,1999,25,7,967,0,2,2,1,0,0.7,1.2,"6,00 mill. €"
175,Fernando,ESP,PO,Almería,32,1990,37,37,3285,0,0,0,3,0,0.0,0.0,-
176,Fernando,BRA,Centrocampista,Sevilla,35,1987,22,19,1577,0,1,1,3,1,0.2,0.7,"2,50 mill. €"
177,Fidel,ESP,Centrocampista,Elche,32,1989,27,21,1714,3,2,5,5,0,2.3,2.3,-
178,Dimitri Foulquier,FRA,Defensa,Valencia,29,1993,30,17,1738,0,2,2,4,0,0.2,1.7,"25,00 mill. €"
179,Juan Foyth,ARG,Defensa,Villarreal,24,1998,24,22,1958,1,0,1,6,0,1.1,1.6,"15,00 mill. €"
180,Iván Fresneda,ESP,Defensa,Valladolid,17,2004,22,18,1743,0,0,0,3,0,0.6,1.5,-
181,Javi Galán,ESP,Defensa,Celta Vigo,27,1994,37,36,3160,0,3,3,6,0,0.6,4.1,"12,00 mill. €"
182,Iñigo Ruiz de Galarreta,ESP,Centrocampista,Mallorca,28,1993,30,28,2449,0,1,1,12,0,0.3,1.4,"3,00 mill. €"
183,Aleix García,ESP,Centrocampista,Girona,25,1997,30,26,2337,1,5,6,1,0,1.8,6.1,"10,00 mill. €"
184,Álvaro García,ESP,Delantero,Rayo Vallecano,29,1992,35,34,2870,5,5,10,7,0,3.6,5.7,"1,00 mill. €"
185,Borja García,ESP,Centrocampista,Girona,31,1990,11,10,679,1,0,1,1,0,0.7,0.6,"6,00 mill. €"
186,Carlos García,ESP,Defensa,Cádiz,22,2000,1,0,25,0,1,1,0,0,0.0,0.1,-
187,Dani García,ESP,Centrocampista,Athletic Club,32,1990,25,18,1485,0,2,2,6,0,1.4,0.7,-
188,David García,ESP,Defensa,Osasuna,28,1994,32,31,2680,2,0,2,8,1,0.7,0.4,"15,00 mill. €"
189,Eric García,ESP,Defensa,Barcelona,21,2001,24,15,1417,1,0,1,3,0,1.6,0.2,"12,00 mill. €"
190,Fran Garcia,ESP,Defensa,Rayo Vallecano,22,1999,38,38,3407,2,3,5,1,0,1.2,1.6,"15,00 mill. €"
191,Joan García,ESP,PO,Espanyol,21,2001,1,1,90,0,0,0,0,0,0.0,0.0,400 mil €
192,Raúl García,ESP,Delantero,Athletic Club,36,1986,35,6,967,2,3,5,4,0,5.2,1.1,"2,50 mill. €"
193,Rubén García,ESP,Delantero,Osasuna,29,1993,29,11,1159,2,2,4,2,0,1.8,2.0,"1,50 mill. €"
194,Unai García,ESP,Defensa,Osasuna,30,1992,21,20,1713,0,1,1,6,1,0.2,0.1,"4,00 mill. €"
195,Felix Garreta,ESP,Defensa,Betis,18,2004,1,1,90,0,0,0,0,0,0.0,0.0,200 mil €
196,Aleix Garrido,ESP,Delantero,Barcelona,18,2004,1,0,7,0,0,0,0,0,0.0,0.0,300 mil €
197,Sékou Gassama,SEN,Delantero,Valladolid,27,1995,1,0,36,0,0,0,0,0,0.4,0.0,"90,00 mill. €"
198,Gavi,ESP,Centrocampista,Barcelona,17,2004,36,30,2531,2,4,6,10,0,3.2,3.7,300 mil €
199,Paulo Gazzaniga,ARG,PO,Girona,30,1992,28,28,2520,0,0,0,4,0,0.0,0.2,"3,00 mill. €"
200,Bryan Gil,ESP,Delantero,Sevilla,21,2001,17,10,918,2,2,4,4,0,2.9,0.7,"15,00 mill. €"
201,David Gil,ESP,PO,Cádiz,28,1994,4,4,360,0,0,0,0,0,0.0,0.0,"2,50 mill. €"
202,Óscar Gil,ESP,Defensa,Espanyol,25,1997,33,31,2559,0,1,1,14,0,0.6,2.9,500 mil €
203,Álvaro Giménez,ESP,Delantero,Cádiz,31,1991,1,0,17,0,0,0,0,0,0.0,0.0,"1,20 mill. €"
204,Dani Gómez,ESP,Centrocampista,Espanyol,24,1998,8,0,88,0,0,0,2,0,0.0,0.0,"4,00 mill. €"
205,Maxi Gómez,URU,Delantero,Valencia,25,1996,3,0,108,0,0,0,0,0,0.2,0.2,"5,00 mill. €"
206,Moi Gómez,ESP,Centrocampista,Osasuna,28,1994,33,28,2453,3,2,5,5,0,1.6,4.2,-
207,Papu Gómez,ARG,Delantero,Sevilla,34,1988,19,11,1065,1,1,2,4,0,1.4,1.7,"2,00 mill. €"
208,Sergi Gómez,ESP,Defensa,Espanyol,30,1992,29,26,2339,0,0,0,1,2,0.9,0.4,100 mil €
209,Antonio Gomis,ESP,PO,Atlético Madrid,19,2003,1,0,6,0,0,0,0,0,0.0,0.0,"4,00 mill. €"
210,Diego González,ESP,Defensa,Elche,27,1995,16,8,958,0,0,0,4,0,0.8,0.0,"2,00 mill. €"
211,Édgar González,ESP,Defensa,Betis,25,1997,25,18,1772,0,0,0,8,2,1.2,0.8,"35,00 mill. €"
